MatterID,Status,CaseSequenceNumber
21903124J,Open,16-2019-SC-007392-XXX-MA
21903608J,Open,16-2019-SC-009563-XXXX-MA
21903619J,Open,16-2019-SC-009182-XXXX-MA
21904402T,Open,16-2019-SC-011917-XXXX-MA
22000034J,Open,16-2019-SC-017116-XXXX-MA
22000486T,Open,16-2019-SC-017181-XXXX-MA
22000792,Open,2021-SC-005229
22001016J,Open,16-2020-SC-001105-XXXX-MA
22001441T,Open,16-2020-SC-001842-XXXX-MA
22001688J,Open,16-2020-SC-003469-XXXX-MA
22001953,Open,16-2020-SC-004507-XXXX-MA
22002200J,Open,16-2020-SC-004562-XXXX-MA
22002689J,Open,16-2020-CA-002376-XXXX-MA
22003630,Open,16-2020-SC-004787-XXXX-MA
22003716J,Open,16-2020-SC-007243-XXXX-MA
22004297T,Open,2020-SC-008193-XXXX-MA
22004313T,Open,16-2020-SC-007171-XXXX-MA
22004452J,Open,2020-CA-003954-XXXX
22004482,Open,16-2020-SC-006902-XXXX-MA
22004960J,Open,16-2020-SC-008512-XXXX-MA
22005105J,Open,16-2020-SC-008367-XXXX-MA
22005190J,Open,16-2020-SC-011356-XXXX-MA
22005356J,Open,2020-CA-2669
22005494,Open,16-2020-SC-010723-XXXX-MA
22005614J,Open,16-2020-SC-010501-XXXX-MA 
22005621J,Open,2020-CA-3741
22005811J,Open,16-2020-SC-013231-XXXX-MA 
22006343J,Open,16-2020-SC-009156-XXXX-MA
22006578R,Open,162020SC016285XXX-MA
22006683T,Open,16-2020-SC-016494-XXXX-MA
22006870,Open,2020-CA-004541-XXXX-MA
22007218J,Open,16-2020-SC-017608-XXXX-MA
22007253T,Open,16-2020-SC-017915-XXXX-MA
22007457R,Open,2020-CA-005823-XXXX-MA
22007607T,Open,16-2020-SC-016678-XXXX-MA
22007722R,Open,16-2020-SC-017565-XXXX-MA
22007848,Open,16-2021-SC-15868
22007880J,Open,16-2020-SC-018203-XXXX-MA
22007909T,Open,2020-SC-016833-XXXX-MA
22008084T,Open,16-2020-SC-020644-XXXX-MA
22008238T,Open,16-2020-SC-016995-XXXX-MA
22008313J,Open,16-2020-SC-021178-XXXX-MA
22008417T,Open,16-2020-SC-019848-XXXX-MA
22008432,Open,16-2020-SC-019847-XXXX-MA
22008450,Open,16-2020-SC-019670-XXXX-MA
22008561J,Open,16-2020-SC-020966-XXXX-MA
22008671J,Open,162020SC020592XXXXMA
22008688,Open,16-2020-CA-005932-XXXX-MA
22008952J,Open,16-2020-SC-021499
22008987J,Open,16-2020-SC-023583-XXXX-MA
22009035J,Open,16-2020-SC-021603
22009107,Open,16-2020-CA-006776-XXXX-MA
22009188T,Open,162020SC018808XXXXMA
22009427T,Open,16-2020-SC-025693-XXXX-MA
22009449J,Open,16-2020-SC-021171-XXXX-MA
22009452J,Open,2020SC020705XXXXMA
22009664J,Open,162020SC025852XXXXMA
22009949T,Open,16-2020-SC-025473-XXXX-MA
22100581J,Open,162021CA000036XXXXMA
22100642T,Open,16-2020-SC-023177-XXXX-MA
